Country,Site,Strategy,Age.Group,Vaccine.Effects,Value_50_50
Mozambique,Rural,lt1,<6 months,Overall,16
Mozambique,Rural,lt1,6-11 months,Overall,15
Mozambique,Rural,lt1,1-4 years,Overall,0
Mozambique,Rural,lt1,5-9 years,Overall,0
Mozambique,Rural,lt1,10-19 years,Overall,0
Mozambique,Rural,lt1,20-29 years,Overall,0
Mozambique,Rural,lt1,30-39 years,Overall,0
Mozambique,Rural,lt1,40-59 years,Overall,0
Mozambique,Rural,lt1,60+ years,Overall,0
Mozambique,Rural,lt1,<6 months,Direct,32
Mozambique,Rural,lt1,6-11 months,Direct,30
Mozambique,Rural,lt1,1-4 years,Direct,0
Mozambique,Rural,lt1,5-9 years,Direct,0
Mozambique,Rural,lt1,10-19 years,Direct,0
Mozambique,Rural,lt1,20-29 years,Direct,0
Mozambique,Rural,lt1,30-39 years,Direct,0
Mozambique,Rural,lt1,40-59 years,Direct,0
Mozambique,Rural,lt1,60+ years,Direct,0
Mozambique,Rural,lt1,<6 months,Indirect,0
Mozambique,Rural,lt1,6-11 months,Indirect,0
Mozambique,Rural,lt1,1-4 years,Indirect,0
Mozambique,Rural,lt1,5-9 years,Indirect,0
Mozambique,Rural,lt1,10-19 years,Indirect,0
Mozambique,Rural,lt1,20-29 years,Indirect,0
Mozambique,Rural,lt1,30-39 years,Indirect,0
Mozambique,Rural,lt1,40-59 years,Indirect,0
Mozambique,Rural,lt1,60+ years,Indirect,0
Mozambique,Urban,lt1,<6 months,Overall,22
Mozambique,Urban,lt1,6-11 months,Overall,21
Mozambique,Urban,lt1,1-4 years,Overall,0
Mozambique,Urban,lt1,5-9 years,Overall,0
Mozambique,Urban,lt1,10-19 years,Overall,0
Mozambique,Urban,lt1,20-29 years,Overall,0
Mozambique,Urban,lt1,30-39 years,Overall,0
Mozambique,Urban,lt1,40-59 years,Overall,0
Mozambique,Urban,lt1,60+ years,Overall,0
Mozambique,Urban,lt1,<6 months,Direct,44
Mozambique,Urban,lt1,6-11 months,Direct,41
Mozambique,Urban,lt1,1-4 years,Direct,0
Mozambique,Urban,lt1,5-9 years,Direct,0
Mozambique,Urban,lt1,10-19 years,Direct,0
Mozambique,Urban,lt1,20-29 years,Direct,0
Mozambique,Urban,lt1,30-39 years,Direct,0
Mozambique,Urban,lt1,40-59 years,Direct,0
Mozambique,Urban,lt1,60+ years,Direct,0
Mozambique,Urban,lt1,<6 months,Indirect,0
Mozambique,Urban,lt1,6-11 months,Indirect,0
Mozambique,Urban,lt1,1-4 years,Indirect,0
Mozambique,Urban,lt1,5-9 years,Indirect,0
Mozambique,Urban,lt1,10-19 years,Indirect,0
Mozambique,Urban,lt1,20-29 years,Indirect,0
Mozambique,Urban,lt1,30-39 years,Indirect,0
Mozambique,Urban,lt1,40-59 years,Indirect,0
Mozambique,Urban,lt1,60+ years,Indirect,0
Mozambique,Rural,aya,<6 months,Overall,4
Mozambique,Rural,aya,6-11 months,Overall,4
Mozambique,Rural,aya,1-4 years,Overall,3
Mozambique,Rural,aya,5-9 years,Overall,2
Mozambique,Rural,aya,10-19 years,Overall,16
Mozambique,Rural,aya,20-29 years,Overall,17
Mozambique,Rural,aya,30-39 years,Overall,3
Mozambique,Rural,aya,40-59 years,Overall,3
Mozambique,Rural,aya,60+ years,Overall,4
Mozambique,Rural,aya,<6 months,Direct,0
Mozambique,Rural,aya,6-11 months,Direct,0
Mozambique,Rural,aya,1-4 years,Direct,0
Mozambique,Rural,aya,5-9 years,Direct,0
Mozambique,Rural,aya,10-19 years,Direct,26
Mozambique,Rural,aya,20-29 years,Direct,28
Mozambique,Rural,aya,30-39 years,Direct,0
Mozambique,Rural,aya,40-59 years,Direct,0
Mozambique,Rural,aya,60+ years,Direct,0
Mozambique,Rural,aya,<6 months,Indirect,4
Mozambique,Rural,aya,6-11 months,Indirect,4
Mozambique,Rural,aya,1-4 years,Indirect,3
Mozambique,Rural,aya,5-9 years,Indirect,2
Mozambique,Rural,aya,10-19 years,Indirect,3
Mozambique,Rural,aya,20-29 years,Indirect,4
Mozambique,Rural,aya,30-39 years,Indirect,3
Mozambique,Rural,aya,40-59 years,Indirect,3
Mozambique,Rural,aya,60+ years,Indirect,4
Mozambique,Urban,aya,<6 months,Overall,22
Mozambique,Urban,aya,6-11 months,Overall,20
Mozambique,Urban,aya,1-4 years,Overall,17
Mozambique,Urban,aya,5-9 years,Overall,17
Mozambique,Urban,aya,10-19 years,Overall,34
Mozambique,Urban,aya,20-29 years,Overall,37
Mozambique,Urban,aya,30-39 years,Overall,18
Mozambique,Urban,aya,40-59 years,Overall,18
Mozambique,Urban,aya,60+ years,Overall,19
Mozambique,Urban,aya,<6 months,Direct,0
Mozambique,Urban,aya,6-11 months,Direct,0
Mozambique,Urban,aya,1-4 years,Direct,0
Mozambique,Urban,aya,5-9 years,Direct,0
Mozambique,Urban,aya,10-19 years,Direct,39
Mozambique,Urban,aya,20-29 years,Direct,43
Mozambique,Urban,aya,30-39 years,Direct,0
Mozambique,Urban,aya,40-59 years,Direct,0
Mozambique,Urban,aya,60+ years,Direct,0
Mozambique,Urban,aya,<6 months,Indirect,22
Mozambique,Urban,aya,6-11 months,Indirect,20
Mozambique,Urban,aya,1-4 years,Indirect,17
Mozambique,Urban,aya,5-9 years,Indirect,17
Mozambique,Urban,aya,10-19 years,Indirect,18
Mozambique,Urban,aya,20-29 years,Indirect,20
Mozambique,Urban,aya,30-39 years,Indirect,18
Mozambique,Urban,aya,40-59 years,Indirect,18
Mozambique,Urban,aya,60+ years,Indirect,19
Guatemala,Rural,lt1,<6 months,Overall,18
Guatemala,Rural,lt1,6-11 months,Overall,17
Guatemala,Rural,lt1,1-4 years,Overall,0
Guatemala,Rural,lt1,5-9 years,Overall,0
Guatemala,Rural,lt1,10-19 years,Overall,0
Guatemala,Rural,lt1,20-29 years,Overall,0
Guatemala,Rural,lt1,30-39 years,Overall,0
Guatemala,Rural,lt1,40-59 years,Overall,0
Guatemala,Rural,lt1,60+ years,Overall,0
Guatemala,Rural,lt1,<6 months,Direct,35
Guatemala,Rural,lt1,6-11 months,Direct,35
Guatemala,Rural,lt1,1-4 years,Direct,0
Guatemala,Rural,lt1,5-9 years,Direct,0
Guatemala,Rural,lt1,10-19 years,Direct,0
Guatemala,Rural,lt1,20-29 years,Direct,0
Guatemala,Rural,lt1,30-39 years,Direct,0
Guatemala,Rural,lt1,40-59 years,Direct,0
Guatemala,Rural,lt1,60+ years,Direct,0
Guatemala,Rural,lt1,<6 months,Indirect,0
Guatemala,Rural,lt1,6-11 months,Indirect,0
Guatemala,Rural,lt1,1-4 years,Indirect,0
Guatemala,Rural,lt1,5-9 years,Indirect,0
Guatemala,Rural,lt1,10-19 years,Indirect,0
Guatemala,Rural,lt1,20-29 years,Indirect,0
Guatemala,Rural,lt1,30-39 years,Indirect,0
Guatemala,Rural,lt1,40-59 years,Indirect,0
Guatemala,Rural,lt1,60+ years,Indirect,0
Guatemala,Urban,lt1,<6 months,Overall,18
Guatemala,Urban,lt1,6-11 months,Overall,17
Guatemala,Urban,lt1,1-4 years,Overall,0
Guatemala,Urban,lt1,5-9 years,Overall,0
Guatemala,Urban,lt1,10-19 years,Overall,0
Guatemala,Urban,lt1,20-29 years,Overall,0
Guatemala,Urban,lt1,30-39 years,Overall,0
Guatemala,Urban,lt1,40-59 years,Overall,0
Guatemala,Urban,lt1,60+ years,Overall,0
Guatemala,Urban,lt1,<6 months,Direct,36
Guatemala,Urban,lt1,6-11 months,Direct,35
Guatemala,Urban,lt1,1-4 years,Direct,0
Guatemala,Urban,lt1,5-9 years,Direct,0
Guatemala,Urban,lt1,10-19 years,Direct,0
Guatemala,Urban,lt1,20-29 years,Direct,0
Guatemala,Urban,lt1,30-39 years,Direct,0
Guatemala,Urban,lt1,40-59 years,Direct,0
Guatemala,Urban,lt1,60+ years,Direct,0
Guatemala,Urban,lt1,<6 months,Indirect,0
Guatemala,Urban,lt1,6-11 months,Indirect,0
Guatemala,Urban,lt1,1-4 years,Indirect,0
Guatemala,Urban,lt1,5-9 years,Indirect,0
Guatemala,Urban,lt1,10-19 years,Indirect,0
Guatemala,Urban,lt1,20-29 years,Indirect,0
Guatemala,Urban,lt1,30-39 years,Indirect,0
Guatemala,Urban,lt1,40-59 years,Indirect,0
Guatemala,Urban,lt1,60+ years,Indirect,0
Guatemala,Rural,aya,<6 months,Overall,7
Guatemala,Rural,aya,6-11 months,Overall,8
Guatemala,Rural,aya,1-4 years,Overall,6
Guatemala,Rural,aya,5-9 years,Overall,5
Guatemala,Rural,aya,10-19 years,Overall,23
Guatemala,Rural,aya,20-29 years,Overall,23
Guatemala,Rural,aya,30-39 years,Overall,6
Guatemala,Rural,aya,40-59 years,Overall,6
Guatemala,Rural,aya,60+ years,Overall,6
Guatemala,Rural,aya,<6 months,Direct,0
Guatemala,Rural,aya,6-11 months,Direct,0
Guatemala,Rural,aya,1-4 years,Direct,0
Guatemala,Rural,aya,5-9 years,Direct,0
Guatemala,Rural,aya,10-19 years,Direct,35
Guatemala,Rural,aya,20-29 years,Direct,35
Guatemala,Rural,aya,30-39 years,Direct,0
Guatemala,Rural,aya,40-59 years,Direct,0
Guatemala,Rural,aya,60+ years,Direct,0
Guatemala,Rural,aya,<6 months,Indirect,7
Guatemala,Rural,aya,6-11 months,Indirect,8
